Protein,Importance
P01602_IGKV1.5,0.004067510529598916
P04114_APOB,0.003885115486407839
P02649_APOE,0.0036192897508969045
P01817_IGHV2.5,0.003559368424925535
P01764_IGHV3.23,0.0035565140552367737
P02741_CRP,0.003473367020419625
P23083_IGHV1.2,0.0034037887915586563
P02753_RBP4,0.003402393195775026
P43652_AFM,0.003394372481348461
A0A087WSY6_IGKV3D.15,0.0032978042922088397
P36955_SERPINF1,0.003221047562911774
P05090_APOD,0.0031802843982754714
O75882_ATRN,0.0030881757417387822
P01860_IGHG3,0.003041570813308932
P02763_ORM1,0.002957242027024755
P01023_A2M,0.0029553594295777747
P13611_VCAN,0.0029028840662662413
Q04756_HGFAC,0.002877232943176013
O15439_ABCC4,0.0028716336722118597
P04003_C4BPA,0.002838400760708422
P35749_MYH11,0.002812687584200589
P09172_DBH,0.002706692864013269
P35858_IGFALS,0.0026944096562099428
P02749_APOH,0.0026828411417489347
P08567_PLEK,0.0026402942006597038
A0A075B6S9_IGKV1.37,0.002618610653974302
Q9Y4L1_HYOU1,0.0026172858699752156
Q92954_PRG4,0.002581120200492311
Q15485_FCN2,0.0025382005227406316
P62937_PPIA,0.0025090283257918743
Q9HC10_OTOF,0.002503845927572353
P01024_C3,0.00249622355268798
A0A075B6H7_IGKV3.7,0.002487370110348406
A0A0C4DH38_IGHV5.51,0.0024871868410897414
P00734_F2,0.002428497487310242
P52272_HNRNPM,0.002409840018559647
Q5T7B8_KIF24,0.002384261007037356
A0A0B4J1U3_IGLV1.36,0.0023490846221673814
P22792_CPN2,0.002337528296036755
P02766_TTR,0.0022980390977997557
A0A0B4J1Y9_IGHV3.72,0.0022907262191207475
P62942_FKBP1A,0.002262775594774551
P01042_KNG1,0.0022428587510107552
P06276_BCHE,0.002205965507173753
Q12805_EFEMP1,0.002205264758211567
P06310_IGKV2.30,0.0021958453158519107
P18669_PGAM1,0.0021878805473096717
P05155_SERPING1,0.0021805930293278784
P0C0L5_C4B_2,0.002178961437659662
P56975_NRG3,0.00214817387906297
Q8N0S2_SYCE1,0.002127329806890243
P04264_KRT1,0.002109000377430352
P14314_PRKCSH,0.002105974291557114
Q96PD5_PGLYRP2,0.0020739477330555455
P47756_CAPZB,0.0020696872102344338
Q12860_CNTN1,0.002069355111810124
P07360_C8G,0.0020511712851511775
P13645_KRT10,0.0020267719891619595
A4UGR9_XIRP2,0.00201779202353236
P06396_GSN,0.002013092600120725
P02768_ALB,0.0020048231827956885
P24593_IGFBP5,0.002003609645909618
P02647_APOA1,0.0019946849394308565
P04196_HRG,0.001975227468711283
Q16891_IMMT,0.001962275359972855
P02748_C9,0.0019603796380208683
C9J069_AJM1,0.001954069634012307
P33151_CDH5,0.001948001412909371
P19012_KRT15,0.0019211362359660017
P12107_COL11A1,0.0018925284978200925
Q9HC84_MUC5B,0.0018742155562263096
P26927_MST1,0.0018571248020285613
P27169_PON1,0.0018509207107946645
O00391_QSOX1,0.0018181260814331222
P01706_IGLV2.11,0.0018141501464766735
P48735_IDH2,0.0018114363058331468
P00751_CFB,0.001777371035538039
P15169_CPN1,0.001719647698847317
Q02985_CFHR3,0.0017111791933680258
Q03164_KMT2A,0.001695331276001116
A0A0B4J1V2_IGHV2.26,0.0016828318442673315
O75179_ANKRD17,0.0016818736303693606
O43300_LRRTM2,0.0016219638731152569
Q6UY01_LRRC31,0.0016192705739388863
A5A3E0_POTEF,0.001616310229730679
A0A075B6I9_IGLV7.46,0.0015900587342810757
O14791_APOL1,0.0015736738172998808
Q8WXX0_DNAH7,0.0015672530759495529
P08603_CFH,0.0015468359602069381
P00450_CP,0.0015427183574568699
P01034_CST3,0.0015259651703747542
P27816_MAP4,0.0015222915205476762
Q15113_PCOLCE,0.0015060025153039206
A0A0B4J2D5_GATD3B,0.0014984641549058728
P07477_PRSS1,0.0014979680203782292
P05546_SERPIND1,0.0014937573018778526
P01857_IGHG1,0.001466616813868678
P02786_TFRC,0.0014637395028341577
O43861_ATP9B,0.0014615544445930604
P46940_IQGAP1,0.0014370598256784
O00299_CLIC1,0.0014358469763837449
P01703_IGLV1.40,0.001427570402629537
P04217_A1BG,0.0014085635180730261
P50552_VASP,0.0013893016115850358
A0A0A0MT36_IGKV6D.21,0.0013858477553205743
P09871_C1S,0.0013761808159910341
P19823_ITIH2,0.0013746814740981297
A0A075B6K5_IGLV3.9,0.001371462343629059
P19827_ITIH1,0.001369807850636072
Q8ND30_PPFIBP2,0.0013688261161150389
P07358_C8B,0.0013651379295551076
P01011_SERPINA3,0.00135344670039536
P09012_SNRPA,0.0013358261475026406
P01743_IGHV1.46,0.0013346362365551257
Q92499_DDX1,0.001334319849561817
A0A0C4DH25_IGKV3D.20,0.0013305871588080176
P22891_PROZ,0.0013275271912770092
P98160_HSPG2,0.0013195499189708323
Q9NR12_PDLIM7,0.0013194362414664692
P02743_APCS,0.001313935354679296
P07996_THBS1,0.0013128799333882596
P61224_RAP1B,0.0012970214856717927
P00742_F10,0.001292101531990408
P62328_TMSB4X,0.0012798768188986944
O00329_PIK3CD,0.0012779099646961956
P54108_CRISP3,0.001266400530357013
Q96J02_ITCH,0.001254152073154152
P0DOY3_IGLC3,0.0012515731504480594
P02750_LRG1,0.001245130913822442
Q9Y277_VDAC3,0.0012381266063843667
P04433_IGKV3.11,0.0012204834690826107
